date,country,lat,long,type,cases,uid,iso2,iso3,code3,combined_key,population,continent_name,continent_code
5/2/2020,Algeria,28.0339,1.6596,confirmed,141,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/3/2020,Algeria,28.0339,1.6596,confirmed,179,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/4/2020,Algeria,28.0339,1.6596,confirmed,174,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/5/2020,Algeria,28.0339,1.6596,confirmed,190,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/6/2020,Algeria,28.0339,1.6596,confirmed,159,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/7/2020,Algeria,28.0339,1.6596,confirmed,185,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/8/2020,Algeria,28.0339,1.6596,confirmed,187,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/9/2020,Algeria,28.0339,1.6596,confirmed,189,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/10/2020,Algeria,28.0339,1.6596,confirmed,165,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/11/2020,Algeria,28.0339,1.6596,confirmed,168,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/12/2020,Algeria,28.0339,1.6596,confirmed,176,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/13/2020,Algeria,28.0339,1.6596,confirmed,186,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/14/2020,Algeria,28.0339,1.6596,confirmed,189,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/15/2020,Algeria,28.0339,1.6596,confirmed,187,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/16/2020,Algeria,28.0339,1.6596,confirmed,192,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/17/2020,Algeria,28.0339,1.6596,confirmed,198,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/18/2020,Algeria,28.0339,1.6596,confirmed,182,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/19/2020,Algeria,28.0339,1.6596,confirmed,176,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/20/2020,Algeria,28.0339,1.6596,confirmed,165,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/21/2020,Algeria,28.0339,1.6596,confirmed,186,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/22/2020,Algeria,28.0339,1.6596,confirmed,190,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/23/2020,Algeria,28.0339,1.6596,confirmed,195,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/24/2020,Algeria,28.0339,1.6596,confirmed,193,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/25/2020,Algeria,28.0339,1.6596,confirmed,197,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/26/2020,Algeria,28.0339,1.6596,confirmed,194,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/27/2020,Algeria,28.0339,1.6596,confirmed,160,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/28/2020,Algeria,28.0339,1.6596,confirmed,140,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/29/2020,Algeria,28.0339,1.6596,confirmed,137,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/30/2020,Algeria,28.0339,1.6596,confirmed,133,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/31/2020,Algeria,28.0339,1.6596,confirmed,127,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/1/2020,Algeria,28.0339,1.6596,confirmed,119,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/2/2020,Algeria,28.0339,1.6596,confirmed,113,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/3/2020,Algeria,28.0339,1.6596,confirmed,107,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/4/2020,Algeria,28.0339,1.6596,confirmed,98,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/5/2020,Algeria,28.0339,1.6596,confirmed,104,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/6/2020,Algeria,28.0339,1.6596,confirmed,115,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/7/2020,Algeria,28.0339,1.6596,confirmed,104,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/8/2020,Algeria,28.0339,1.6596,confirmed,111,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/9/2020,Algeria,28.0339,1.6596,confirmed,117,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/10/2020,Algeria,28.0339,1.6596,confirmed,102,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/11/2020,Algeria,28.0339,1.6596,confirmed,105,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/12/2020,Algeria,28.0339,1.6596,confirmed,109,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/13/2020,Algeria,28.0339,1.6596,confirmed,112,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/14/2020,Algeria,28.0339,1.6596,confirmed,109,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/15/2020,Algeria,28.0339,1.6596,confirmed,112,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/16/2020,Algeria,28.0339,1.6596,confirmed,116,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/17/2020,Algeria,28.0339,1.6596,confirmed,121,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/18/2020,Algeria,28.0339,1.6596,confirmed,117,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/19/2020,Algeria,28.0339,1.6596,confirmed,119,12,DZ,DZA,12,Algeria,43851043,Africa,AF
